,Name,SSN,Age,Job,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Outcome
487,Dott. Carla Carocci,FRMTTN85R22E709T,58,"Engineer, maintenance (IT)",0,173,78,32,265,46.5,1.159,0
488,Sig.ra Donna Belletini,BTTMRA72T07L664O,28,"Geologist, wellsite",4,99,72,17,0,25.6,0.294,0
489,Dott. Michela Carpaccio,TSSMND72S01D644L,67,Land/geomatics surveyor,8,194,80,0,0,26.1,0.551,0
490,Barbara Treccani,VSPVCR22T07A119E,24,Media planner,2,83,65,28,66,36.8,0.629,0
491,Dott. Etta Bragadin,FRRGUO86B62M044G,42,Arboriculturist,2,89,90,30,0,33.5,0.292,0
492,Angelica Pugliese,PRNGCT08P60C503H,33,Health visitor,4,99,68,38,0,32.8,0.145,0
493,Eugenia Roccabonella,ZNISTN75T28C917Q,45,Contractor,4,125,70,18,122,28.9,1.144,1
494,Lilla Mascagni-Castellitto,RNZGFR89P43F407X,22,Theme park manager,3,80,0,0,0,0.0,0.174,0
495,Sig.ra Marissa Almagià,TZZLDA41P59F313J,66,Operational investment banker,6,166,74,0,0,26.6,0.304,0
496,Giada Caracciolo,SFFNCL15E43H127G,30,Corporate treasurer,5,110,68,0,0,26.0,0.292,0
497,Dott. Erika Morabito,GRBGCM30L65I124A,25,Company secretary,2,81,72,15,76,30.1,0.547,0
498,Roberta Garzoni,MNTLNR31C12E187L,55,Forest/woodland manager,7,195,70,33,145,25.1,0.163,1
499,Ida Condoleo-Giradello,DSELNR05S13A105R,39,Medical sales representative,6,154,74,32,193,29.3,0.839,0
500,Marisa Carocci,BZZVRN28S19C532E,21,Sport and exercise psychologist,2,117,90,19,71,25.2,0.313,0
501,Paloma Campanella-Ovadia,FRZMRC89M46L508B,28,Chartered public finance accountant,3,84,72,32,0,37.2,0.267,0
502,Alina Schiavo,MLNNNE62L42H899Q,41,Special educational needs teacher,6,0,68,41,0,39.0,0.727,1
503,Gabriella Verga,PNTCRL53D52D392E,41,"Administrator, education",7,94,64,25,79,33.3,0.738,0
504,Rita Doglioni-Lussu,FSCLFA09D63C160V,40,"Investment banker, operational",3,96,78,39,0,37.3,0.238,0
505,Lilla Fermi,CDUNNT66B26L438A,38,Furniture designer,10,75,82,0,0,33.3,0.263,0
506,Antonietta Troisi,LTTVNS80R13A024N,35,Applications developer,0,180,90,26,90,36.5,0.314,1
507,Angelica Abate-Fioravanti,CRSBPP55M68H961S,21,Research scientist (life sciences),1,130,60,23,170,28.6,0.692,0
508,Ninetta Camanni,BTTTNO14E24E800E,21,Chiropractor,2,84,50,23,76,30.4,0.968,0
509,Annetta Abba-Tamburello,FRMRNT95L20A273A,64,Sports therapist,8,120,78,0,0,25.0,0.409,0
510,Patrizia Toscani,GNNVNC36E67H682P,46,Multimedia specialist,12,84,72,31,0,29.7,0.297,1
511,Sonia Basso-Fieramosca,BNTMME86L02H078Z,21,Building services engineer,0,139,62,17,210,22.1,0.207,0
512,Dott. Diana Aloisio,LCRNDA86E10B501G,58,Clinical psychologist,9,91,68,0,0,24.2,0.2,0
513,Nedda Fantozzi,TNSCML89T42H432P,22,Barista,2,91,62,0,0,27.3,0.525,0
514,Martina Dulbecco,GRONPN15L45I697R,24,Insurance account manager,3,99,54,19,86,25.6,0.154,0
515,Lolita Bellò,PRDLBT80R61E747C,28,"Physicist, medical",3,163,70,18,105,31.6,0.268,1
516,Eva Busoni,SBLFRN75R56G264P,53,Public house manager,9,145,88,34,165,30.3,0.771,1
517,Giuseppina Ceci,MSTLND89C07H205D,51,Broadcast engineer,7,125,86,0,0,37.6,0.304,0
518,Stefani Camiscione,LNCLND03R52A805G,41,Cabin crew,13,76,60,0,0,32.8,0.18,0
519,Annamaria Montanariello-Tartini,VGDVTR42P17G248L,60,Chartered public finance accountant,6,129,90,7,326,19.6,0.582,0
520,Livia Praga,LXRGLS25C63B590L,25,Firefighter,2,68,70,32,66,25.0,0.187,0
521,Rossana Celentano,GRGLNI06C26I793A,26,"Restaurant manager, fast food",3,124,80,33,130,33.2,0.305,0
522,Dott. Veronica Interminelli,RSTLLL22D12C704K,26,Community arts worker,6,114,0,0,0,0.0,0.189,0
523,Serena Tosi,MRNNTN32H25I449W,45,Research scientist (medical),9,130,70,0,0,34.2,0.652,1
524,Donatella Scaramucci-Gemito,SCLNNZ80H22I348B,24,Health and safety adviser,3,125,58,0,0,31.6,0.151,0
525,Giulietta Bodoni,SPDPLA23C68I151A,21,Insurance risk surveyor,3,87,60,18,0,21.8,0.444,0
526,Alessia Galtarossa,GGLGNR61E57A891N,21,Professor Emeritus,1,97,64,19,82,18.2,0.299,0
527,Valeria Fiorucci,VSCLSE59D25A789U,24,"Designer, exhibition/display",3,116,74,15,105,26.3,0.107,0
528,Dott. Simonetta Mondaini,NOIBLD08B47A772Q,22,"Teacher, secondary school",0,117,66,31,188,30.8,0.493,0
529,Concetta Mozart,STRPLG05C57C079Y,31,Regulatory affairs officer,0,111,65,0,0,24.6,0.66,0
530,Dott. Angelina Tognazzi,TRPFBZ13B13L729W,22,Newspaper journalist,2,122,60,18,106,29.8,0.717,0
531,Rosina Casaleggio,CPPLDC01T43I357D,24,Management consultant,0,107,76,0,0,45.3,0.686,0
532,Martina Lerner,CSRGDI36R04A452X,29,Field trials officer,1,86,66,52,65,41.3,0.917,0
533,Marisa Venturi,QRNSNN21M66F371C,31,Writer,6,91,0,0,0,29.8,0.501,0
534,Sig.ra Loredana Fioravanti,BLLCRD13S41B213J,24,Higher education careers adviser,1,77,56,30,56,33.3,1.251,0
535,Cristina Dovara,PZZDNN47B15D050X,23,Secretary/administrator,4,132,0,0,0,32.9,0.302,1
536,Dott. Victoria Piccio,RRNRMN18T06A837N,46,Manufacturing engineer,0,105,90,0,0,29.6,0.197,0
537,Allegra Nitti,TMBMRC77M62H901Z,67,Special effects artist,0,57,60,0,0,21.7,0.735,0
538,Lisa Giorgetti,RSLNNN99P48H444F,23,Herbalist,0,127,80,37,210,36.3,0.804,0
539,Pina Pausini,LDBBNT52D48D728D,32,Writer,3,129,92,49,155,36.4,0.968,1
540,Adele Foconi,BCCPLG43H45A135Q,43,Dealer,8,100,74,40,215,39.4,0.661,1
541,Elvira Trebbi-Scarfoglio,CZZCSN24R16E880P,27,Materials engineer,3,128,72,25,190,32.4,0.549,1
542,Sig.ra Giulia Roth,CHCLCI84T02F845U,56,Air traffic controller,10,90,85,32,0,34.9,0.825,1
543,Evangelista Pelli,CVLDIA75B18B906B,25,"Scientist, research (medical)",4,84,90,23,56,39.5,0.159,0
544,Simonetta Cibin,MNTCLL13D19G951W,29,Insurance risk surveyor,1,88,78,29,76,32.0,0.365,0
545,Rosina Porzio,CRDDNI28H21D033C,37,"Designer, fashion/clothing",8,186,90,35,225,34.5,0.423,1
546,Dott. Amanda Passalacqua,BRCGLI38M51G622C,53,"Engineer, petroleum",5,187,76,27,207,43.6,1.034,1
547,Elvira Jacuzzi,NFNDRT64A47G338V,28,Medical laboratory scientific officer,4,131,68,21,166,33.1,0.16,0
548,Tina Borsiere,PVNRNT07S06F440Y,50,Financial risk analyst,1,164,82,43,67,32.8,0.341,0
549,Emma Mercati-Burcardo,LLLVTR28C13E787N,37,Air traffic controller,4,189,110,31,0,28.5,0.68,0
550,Elisa Carducci,FLRLLT36A06G620P,21,Race relations officer,1,116,70,28,0,27.4,0.204,0
551,Maria Luciani,TNNTTE54S19D472D,25,Biomedical engineer,3,84,68,30,106,31.9,0.591,0
552,Isa Carducci,SNNTTN61S06E255F,66,Chief Executive Officer,6,114,88,0,0,27.8,0.247,0
553,Carolina Colletti,PCMLZR70D57E026M,23,Mudlogger,1,88,62,24,44,29.9,0.422,0
554,Isa Venier,BNCNNZ37E20L366L,28,Site engineer,1,84,64,23,115,36.9,0.471,0
555,Flavia Sermonti,CHRLNI16D28H687K,37,Chief Technology Officer,7,124,70,33,215,25.5,0.161,0
556,Aria Martinelli,VLMFLP99M05D520N,30,Landscape architect,1,97,70,40,0,38.1,0.218,0
557,Dott. Tina Lucarelli,TLNPRN01P28F209I,58,Colour technologist,8,110,76,0,0,27.8,0.237,0
558,Dott. Carolina Quasimodo,FLNCML10T49B419Q,42,Magazine features editor,11,103,68,40,0,46.2,0.126,0
559,Concetta Maffei,PLLLGU44S46C091Q,35,"Engineer, petroleum",11,85,74,0,0,30.1,0.3,0
560,Irma Greco,GRTGCM27L57D850F,54,Astronomer,6,125,76,0,0,33.8,0.121,1
561,Eliana Stoppani-Castiglione,PGLNTA69R04M108I,28,Surgeon,0,198,66,32,274,41.3,0.502,1
562,Bettina Brenna-Comisso,CMPNNS82A26F088N,24,"Programmer, multimedia",1,87,68,34,77,37.6,0.401,0
563,Rossana Ungaretti,BLBRMN87M41M368V,32,"Education officer, community",6,99,60,19,54,26.9,0.497,0
564,Amalia Ceci,BRZGCH72B43E681L,27,Communications engineer,0,91,80,0,0,32.4,0.601,0
565,Francesca Agazzi,BTTBRR54L43L809M,22,Broadcast engineer,2,95,54,14,88,26.1,0.748,0
566,Tatiana Scandone,TCCDNN61P22E910G,21,"Producer, radio",1,99,72,30,18,38.6,0.412,0
567,Nadia Chiaramonte,MNCGMR16R51E704W,46,Water engineer,6,92,62,32,126,32.0,0.085,0
568,Dott. Serafina Pontecorvo,PRRGDI61S16A600F,37,Consulting civil engineer,4,154,72,29,126,31.3,0.338,0
569,Luciana Contrafatto-Toninelli,DRSSBN56C65F586V,33,"Engineer, agricultural",0,121,66,30,165,34.3,0.203,1
570,Bettina Bottigliero,BRZCHL95T64G589R,39,Paramedic,3,78,70,0,0,32.5,0.27,0
571,Lucia Mennea,NLCVRL45R55I562S,21,Retail banker,2,130,96,0,0,22.6,0.268,0
572,Dott. Loretta Prati,BRNBGI89H57F203P,22,Risk analyst,3,111,58,31,44,29.5,0.43,0
573,Claudia Camilleri,MLTSBL02D25E367B,22,Dispensing optician,2,98,60,17,120,34.7,0.198,0
574,Sig.ra Ilaria Tremonti,ZNCMCL31H03F546I,23,Clinical cytogeneticist,1,143,86,30,330,30.1,0.892,0
575,Maura Toselli,DSDDIA33H17D994L,25,Air traffic controller,1,119,44,47,63,35.5,0.28,0
576,Ornella Fattori,CPNDIA16P16B116A,35,"Psychologist, educational",6,108,44,20,130,24.0,0.813,0
577,Marcella Sgalambro,BTTRKE95E26H311T,21,"Therapist, music",2,118,80,0,0,42.9,0.693,1
578,Clelia Caironi,GRSGSN55A53H387P,36,"Conservation officer, nature",10,133,68,0,0,27.0,0.245,0
579,Monica Sauli,MRSRTI65A09B227X,62,Analytical chemist,2,197,70,99,0,34.7,0.575,1
580,Liliana Finotto,GLTSNT59H65A308Z,21,Secondary school teacher,0,151,90,46,0,42.1,0.371,1
581,Flavia Pederiva,PRTMDA73R66A516B,27,Cartographer,6,109,60,27,0,25.0,0.206,0
582,Alina Proietti,SBRCRL03P41L531C,62,"Development worker, international aid",12,121,78,17,0,26.5,0.259,0
583,Antonina Cainero,MRRGBL30B50L304W,42,Industrial/product designer,8,100,76,0,0,38.7,0.19,0
584,Flavia Maggioli,DROGLN11A45G417G,52,"Engineer, broadcasting (operations)",8,124,76,24,600,28.7,0.687,1
585,Giada Magrassi,MLPNDD57E03B743Q,22,Structural engineer,1,93,56,11,0,22.5,0.417,0
586,Victoria Ajello,VSNCLC35M58C394H,41,Product manager,8,143,66,0,0,34.9,0.129,1
587,Erika Bottaro-Avogadro,TMBPRG24E41I690G,29,Environmental health practitioner,6,103,66,0,0,24.3,0.249,0
588,Sandra Mastroianni,CRBGNC16R54H166C,52,Corporate treasurer,3,176,86,27,156,33.3,1.154,1
589,Stefania Rismondo-Scotto,TLRDRA15H06D162R,25,"Programmer, systems",0,73,0,0,0,21.1,0.342,0
590,Greca Vittadello,RNZTNF94B42F147S,45,Psychiatric nurse,11,111,84,40,0,46.8,0.925,1
591,Roberta Tommaseo,PTRGLI75D05E216L,24,Clinical biochemist,2,112,78,50,140,39.4,0.175,0
592,Sig.ra Filippa Fioravanti,MNCGNI45A49D856W,44,Field seismologist,3,132,80,0,0,34.4,0.402,1
593,Clelia Antonucci-Soffici,LNCSLS82H49L186D,25,"Runner, broadcasting/film/video",2,82,52,22,115,28.5,1.699,0
594,Mercedes Pulci,MRCGSR28D68M202M,34,Television floor manager,6,123,72,45,230,33.6,0.733,0
595,Lucia Curatoli-Greco,GLTGSV94C41G861O,22,Higher education careers adviser,0,188,82,14,185,32.0,0.682,1
596,Adriana Busoni,CRTRSL97D01C975Y,46,Physiological scientist,0,67,76,0,0,45.3,0.194,0
597,Dott. Vanessa Tresoldi,GBRDLS60D01D143H,21,"Secretary, company",1,89,24,19,25,27.8,0.559,0
598,Antonella Lancisi,MRTGNT04R66B861Y,38,Emergency planning/management officer,1,173,74,0,0,36.8,0.088,1
599,Giuseppina Seddio,RSSNNL77E43A665E,26,Chief Operating Officer,1,109,38,18,120,23.1,0.407,0
600,Alessia Stein,BNNLLN96D13M016C,24,"Surveyor, rural practice",1,108,88,19,0,27.1,0.4,0
601,Rosina Caironi,BBGPTZ38E25G606P,28,"Engineer, water",6,96,0,0,0,23.7,0.19,0
602,Sig.ra Giuseppina Pisaroni,MRSSTN06R18C209Z,30,Technical sales engineer,1,124,74,36,0,27.8,0.1,0
603,Michela Musatti,CLISMN73M65C804P,54,Oceanographer,7,150,78,29,126,35.2,0.692,1
604,Sig.ra Donna Boitani,CSLMRA78B19F154J,36,"Designer, industrial/product",4,183,0,0,0,28.4,0.212,1
605,Lolita Beccheria,BLLFDC88C28A453Z,21,Licensed conveyancer,1,124,60,32,0,35.8,0.514,0
606,Rossana Pavanello,BNDFRN00H43G780D,22,Herbalist,1,181,78,42,293,40.0,1.258,1
607,Maura Pirelli,GTTDIA53B12H641O,25,"Surveyor, insurance",1,92,62,25,41,19.5,0.482,0
608,Lilla Morpurgo,RNCMRA83B53H760H,27,Animator,0,152,82,39,272,41.5,0.27,0
609,Alina Tamburello-Rensi,MRNLLT23H26D082S,23,"Psychologist, occupational",1,111,62,13,182,24.0,0.138,0
610,Diana Fermi,PRNNDA11B25C050H,24,Control and instrumentation engineer,3,106,54,21,158,30.9,0.292,0
611,Antonia Stucchi,PGNSNO02R20E423N,36,Risk manager,3,174,58,22,194,32.9,0.593,1
612,Marisa Moschino-Pistoletto,NTRSLV89R42B828U,40,Architectural technologist,7,168,88,42,321,38.2,0.787,1
613,Olga Cuzzocrea,MCCPRR38H52C382Z,26,Educational psychologist,6,105,80,28,0,32.5,0.878,0
614,Tina Zamengo-Balbi,SLGCHR43S15D812K,50,Glass blower/designer,11,138,74,26,144,36.1,0.557,1
615,Serena Pigafetta,FLLCLD79L51D472S,27,Bonds trader,3,106,72,0,0,25.8,0.207,0
616,Dott. Isa Mazzeo,STGLRN93R12D684V,30,"Psychologist, forensic",6,117,96,0,0,28.7,0.157,0
617,Daria Raimondi,MSTGNZ24M58D207V,23,Artist,2,68,62,13,15,20.1,0.257,0
618,Ludovica Pozzecco-Canali,BRLTLL32R66L565G,50,Health promotion specialist,9,112,82,24,0,28.2,1.282,1
619,Vittoria Caracciolo,CLLPRN40D49I028X,24,Veterinary surgeon,0,119,0,0,0,32.4,0.141,1
620,Sig.ra Greca Nicoletti,DNZDNI27M18B309X,28,Financial controller,2,112,86,42,160,38.4,0.246,0
621,Elvira Torricelli-Maderno,MCCVRC48L10B332R,28,"Lighting technician, broadcasting/film/video",2,92,76,20,0,24.2,1.698,0
622,Melissa Tebaldi-Curiel,PZZLND00S17G877J,45,Clinical biochemist,6,183,94,0,0,40.8,1.461,0
623,Dott. Lara Saragat,PLTRSR53B49F032Z,21,Production manager,0,94,70,27,115,43.5,0.347,0
624,Berenice Biagi,LTTMRL71T43A313W,21,Geophysical data processor,2,108,64,0,0,30.8,0.158,0
625,Romina Petrocelli,MNTLFA11L67I332Q,29,"Engineer, electrical",4,90,88,47,54,37.7,0.362,0
626,Stella Babati,CPPVRC67H24D286F,21,Financial trader,0,125,68,0,0,24.7,0.206,0
627,Ilaria Magnani,VNLVNN89E48A601A,21,Government social research officer,0,132,78,0,0,32.4,0.393,0
628,Dott. Martina Magnani,CFRMLA12R08F726Y,45,Private music teacher,5,128,80,0,0,34.6,0.144,0
629,Mercedes Zabarella,GLRLSU28S18H877Q,21,Engineering geologist,4,94,65,22,0,24.7,0.148,0
630,Dott. Mariana Satta,NVITZN33R03G303E,34,Camera operator,7,114,64,0,0,27.4,0.732,1
631,Isa Ughi,LRCLBT19M54B292N,24,"Designer, interior/spatial",0,102,78,40,90,34.5,0.238,0
632,Dott. Germana Pizziol,VSRFLV70C63D201F,23,Illustrator,2,111,60,0,0,26.2,0.343,0
633,Elvira Sismondi,MCCDLS09C22D871X,22,Clinical research associate,1,128,82,17,183,27.5,0.115,0
634,Mercedes Canetta,RCCRTI14C27B481W,31,Chartered loss adjuster,10,92,62,0,0,25.9,0.167,0
635,Daria Gotti,SPDMRN64C60B020Z,38,"Geologist, wellsite",13,104,72,0,0,31.2,0.465,1
636,Barbara Gualtieri,PPINNI22E55E786A,48,Health visitor,5,104,74,0,0,28.8,0.153,0
637,Laura Gremese,VNTGVN46E16H783P,23,Chiropodist,2,94,76,18,66,31.6,0.649,0
638,Carolina Bruno,GLTFBA83S27F175T,32,"Surveyor, quantity",7,97,76,32,91,40.9,0.871,1
639,Gloria Casalodi-Druso,SNTPRG89S58D259K,28,Mining engineer,1,100,74,12,46,19.5,0.149,0
640,Virginia Gigli,TRTLCN90P12G418J,27,Media buyer,0,102,86,17,105,29.3,0.695,0
641,Francesca Liverotti,VRGDNL87C12D421X,24,"Teacher, adult education",4,128,70,0,0,34.3,0.303,0
642,Eliana Bevilacqua-Venturi,CHNMND69R20L994W,50,Museum/gallery conservator,6,147,80,0,0,29.5,0.178,1
643,Rosa Casalodi,CSLDNN34T26H187H,31,"Biochemist, clinical",4,90,0,0,0,28.0,0.61,0
644,Dott. Evangelista Niscoromni,BRNGNN81C61C189I,27,"Designer, blown glass/stained glass",3,103,72,30,152,27.6,0.73,0
645,Irma Sinisi,MSCBTC54S08M156I,30,Seismic interpreter,2,157,74,35,440,39.4,0.134,0
646,Giada Antonucci,NGSSLV75A64I096W,33,Systems analyst,1,167,74,17,144,23.4,0.447,1
647,Chiara Marzorati,LPRFLR80S25F900W,22,"Development worker, community",0,179,50,36,159,37.8,0.455,1
648,Melania Palombi-Niggli,VSCGRN84E44I661E,42,"Journalist, magazine",11,136,84,35,130,28.3,0.26,1
649,Silvia Bianchi,BTTNZE16A53B827B,23,Manufacturing systems engineer,0,107,60,25,0,26.4,0.133,0
650,Stella Boldù-Bresciani,CNTBLD25C50M281I,23,Broadcast journalist,1,91,54,25,100,25.2,0.234,0
651,Ramona Rensi,BFFGRG61R23D557F,27,Health promotion specialist,1,117,60,23,106,33.8,0.466,0
652,Rosa Callegaro,MRRGLN38P23I567H,28,Metallurgist,5,123,74,40,77,34.1,0.269,0
653,Eleanora Zola,BNDDNL24A59D137J,27,Analytical chemist,2,120,54,0,0,26.8,0.455,0
654,Sig.ra Giulia Giunti,BRMGNE20S04E967J,22,Animal technologist,1,106,70,28,135,34.2,0.142,0
655,Luciana Villarosa,MNTDRA42S27D842Z,25,Civil Service fast streamer,2,155,52,27,540,38.7,0.24,1
656,Dott. Serafina Ruberto,PSTPSL32B55C565E,22,Music tutor,2,101,58,35,90,21.8,0.155,0
657,Annalisa Luxardo,TRPLLN26A17E482O,41,Community education officer,1,120,80,48,200,38.9,1.162,0
658,Dolores Bettin,PGLGRN79P25E737V,51,"Accountant, chartered public finance",11,127,106,0,0,39.0,0.19,0
659,Nicoletta Bonaventura,FGTGFR28B46L251S,27,Diagnostic radiographer,3,80,82,31,70,34.2,1.292,1
660,Sylvia Disdero,GNTPCC80M43F427P,54,Tree surgeon,10,162,84,0,0,27.7,0.182,0
661,Filippa Regge,BTTGLR71L25C055O,22,"Radiographer, therapeutic",1,199,76,43,0,42.9,1.394,1
662,Silvia Gianetti,RSSCRI39A44L434O,43,"Engineer, building services",8,167,106,46,231,37.6,0.165,1
663,Adelasia Varano-Ziani,PRNDNN36E04C594K,40,Counselling psychologist,9,145,80,46,130,37.9,0.637,1
664,Evangelista Saraceno-Argan,BBGCRL40L07H446Y,40,Investment analyst,6,115,60,39,0,33.7,0.245,1
665,Lolita Babati,FLPRTI27B11H414B,24,Analytical chemist,1,112,80,45,132,34.8,0.217,0
666,Lolita Castelli,PRLDNL31C52A539O,70,Aeronautical engineer,4,145,82,18,0,32.5,0.235,1
667,Giuliana Scarfoglio-Rossellini,NTNNTN28D21C719G,40,"Engineer, chemical",10,111,70,27,0,27.5,0.141,1
668,Silvia Pignatti-Praga,CVSRCR16P45L596V,43,Mudlogger,6,98,58,33,190,34.0,0.43,0
669,Evangelista Spinola,SPRPRG83L68I403J,45,"Geologist, engineering",9,154,78,30,100,30.9,0.164,0
670,Elena Gabba,BRZRTR55A65F192P,49,Broadcast journalist,6,165,68,26,168,33.6,0.631,0
671,Fortunata Salvemini,BTNCRN75A46E841B,21,Tax inspector,1,99,58,10,0,25.4,0.551,0
672,Cecilia Molesini-Monicelli,BNNBLD53T49H323P,47,Jewellery designer,10,68,106,23,49,35.5,0.285,0
673,Michela Vecoli,SRENZE59R68A124O,22,Immigration officer,3,123,100,35,240,57.3,0.88,0
674,Rosaria Goldoni,RNCPRD30A65E951F,68,"Psychologist, forensic",8,91,82,0,0,35.6,0.587,0
675,Lucrezia Opizzi,LXRSTN17D18I131V,31,Cartographer,6,195,70,0,0,30.9,0.328,1
676,Donatella Trevisani,LPRSBN52P47F562W,53,"Engineer, maintenance (IT)",9,156,86,0,0,24.8,0.23,1
677,Raffaella Celentano,TRNMSM22P65M182L,25,"Designer, fashion/clothing",0,93,60,0,0,35.3,0.263,0
678,Priscilla Innocenti-Olivetti,RBBTTE32T22A067W,25,"Loss adjuster, chartered",3,121,52,0,0,36.0,0.127,1
679,Bettina Ginese,CRSRNT23T18F760F,23,Tax adviser,2,101,58,17,265,24.2,0.614,0
680,Donatella Morandi,FLGNGL53B67L278D,22,Merchant navy officer,2,56,56,28,45,24.2,0.332,0
681,Luigina Sbarbaro,CTTVRN29M17D811X,26,Veterinary surgeon,0,162,76,36,0,49.6,0.364,1
682,Dott. Alessandra Traversa,BSSVNL68H25L774Z,22,Fashion designer,0,95,64,39,105,44.6,0.366,0
683,Valeria Spanevello,TRNVLR78E61H059L,27,Microbiologist,4,125,80,0,0,32.3,0.536,1
684,Roberta Martinelli-Bignardi,PRDRMN65E15C441D,69,Sales promotion account executive,5,136,82,0,0,0.0,0.64,0
685,Alessandra Gabbana,TRBMLN63M11I907N,25,Television/film/video producer,2,129,74,26,205,33.2,0.591,0
686,Rita Gaggini-Renzi,MRGDNL30M64L834K,22,Energy engineer,3,130,64,0,0,23.1,0.314,0
687,Elena Guidotti,FGGNTN19R48A033V,29,Patent examiner,1,107,50,19,0,28.3,0.181,0
688,Daria Cabibbo,TMBLRA23A01G559V,23,Forensic psychologist,1,140,74,26,180,24.1,0.828,0
689,Ninetta Finotto,FGGMTT38M56G303W,46,"Therapist, horticultural",1,144,82,46,180,46.1,0.335,1
690,Aurora Flaiano-Togliatti,SNTRNL81L13A056K,34,Sports coach,8,107,80,0,0,24.6,0.856,0
691,Sonia Gozzano,RSSLTZ41B24D137C,44,Advertising account executive,13,158,114,0,0,42.3,0.257,1
692,Dott. Iolanda Malaparte,RCCCML45P20C108J,23,"Psychologist, forensic",2,121,70,32,95,39.1,0.886,0
693,Ramona Gabbana-Boitani,FOXLCU54D49I878I,43,"Engineer, technical sales",7,129,68,49,125,38.5,0.439,1
694,Marina Brunelleschi,CPPSVD89M46C516U,25,Dispensing optician,2,90,60,0,0,23.5,0.191,0
695,Rosaria Nitto,NVIMRL13B12B684D,43,Commissioning editor,7,142,90,24,480,30.4,0.128,1
696,Filippa Rinaldi,MSCLRN55R18E022B,31,Computer games developer,3,169,74,19,125,29.9,0.268,1
697,Bettina Maccanelli,MRLDLS11T08D956M,22,Archaeologist,0,99,0,0,0,25.0,0.253,0
698,Donatella Celentano,BRCDNL13D17D395M,28,Product designer,4,127,88,11,155,34.5,0.598,0
699,Gloria Giannini-Carosone,GRGVNN50H13M077U,26,Holiday representative,4,118,70,0,0,44.5,0.904,0
700,Donna Branciforte,FOXDNL60S50B188R,26,Theatre director,2,122,76,27,200,35.9,0.483,0
701,Cassandra Ceravolo,TRVFRN22E15D862A,49,"Lighting technician, broadcasting/film/video",6,125,78,31,0,27.6,0.565,1
702,Lisa Abbagnale,RDERND44S51G826C,52,Leisure centre manager,1,168,88,29,0,35.0,0.905,1
703,Eleanora Bossi,VNTNNL14H53B875Y,41,General practice doctor,2,129,0,0,0,38.5,0.304,0
704,Irma Montalti-Udinesi,LCCPRN13H44F968B,27,Communications engineer,4,110,76,20,100,28.4,0.118,0
705,Flora Correr,CDRFRN44D05D688Q,28,Marine scientist,6,80,80,36,0,39.8,0.177,0
706,Rosina Fo-Manacorda,TRBGCT78R46C158J,30,Immunologist,10,115,0,0,0,0.0,0.261,1
707,Marissa Cusano,GNNMNC48C21H102O,22,"Therapist, sports",2,127,46,21,335,34.4,0.176,0
708,Elvira Mezzetta,LBNGRM58A61B564E,45,Field trials officer,9,164,78,0,0,32.8,0.148,1
709,Morena Gaiatto,GLLGLT34R26C303H,23,Production manager,2,93,64,32,160,38.0,0.674,1
710,Luisa Valmarana,TMOGSV48E41G142R,24,Production manager,3,158,64,13,387,31.2,0.295,0
711,Zaira Alfonsi,VNDSLT44S49D802S,40,Systems analyst,5,126,78,27,22,29.6,0.439,0
712,Dott. Romina Biagiotti,GRFRND47C64M385F,38,"Psychologist, counselling",10,129,62,36,0,41.2,0.441,1
713,Dolores Cardano-Murri,MLCCSN76H12F582I,21,Advice worker,0,134,58,20,291,26.4,0.352,0
714,Etta Geraci-Pagnotto,MRNMNC36P01L016D,32,Solicitor,3,102,74,0,0,29.5,0.121,0
715,Flora Pellico,FLNLFD58T42D897H,34,Recycling officer,7,187,50,33,392,33.9,0.826,1
716,Annalisa Galeati,TLDLCN82E61F305S,31,Product/process development scientist,3,173,78,39,185,33.8,0.97,1
717,Teresa Ferrabosco,SMMMLN62L17G111N,56,Retail manager,10,94,72,18,0,23.1,0.595,0
718,Greca Columbo,CNDGNR46E44H918X,24,Science writer,1,108,60,46,178,35.5,0.415,0
719,Luisa Cannizzaro,CRCLNE34D16M396J,52,"Accountant, chartered",5,97,76,27,0,35.6,0.378,1
720,Gianna Giacometti,SCRDNI93A17E481N,34,Press photographer,4,83,86,19,0,29.3,0.317,0
721,Nedda Calvo-Lerner,CRNBRR36D55D977Y,21,Medical sales representative,1,114,66,36,200,38.1,0.289,0
722,Paulina Gottardi-Govoni,LTRLNR63H13D062H,42,Hotel manager,1,149,68,29,127,29.3,0.349,1
723,Mercedes Cagnotto-Pizzo,BRNRNR88E51G631A,42,Actuary,5,117,86,30,105,39.1,0.251,0
724,Cristina Germano-Bernardini,DNNGCT48E54H498Y,45,"Lighting technician, broadcasting/film/video",1,111,94,0,0,32.8,0.265,0
725,Ida Gioberti,PRTRBT93B03C187Y,38,Accounting technician,4,112,78,40,0,39.4,0.236,0
726,Evangelista Leonardi,BNGRFL61M65A074J,25,"Scientist, clinical (histocompatibility and immunogenetics)",1,116,78,29,180,36.1,0.496,0
727,Virginia Geraci,CNNRSR58B15F044I,22,"Therapist, speech and language",0,141,84,26,0,32.4,0.433,0
728,Lolita Turci-Pausini,PCLNNN35H54A415R,22,Economist,2,175,88,0,0,22.9,0.326,0
729,Fiamma Donati-Comboni,LGRLZR18H50G202M,22,"Teacher, special educational needs",2,92,52,0,0,30.1,0.141,0
